ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-04-06,10695.613171073639,9471.169801796004,10886.092879321868,10695.613171073639,10695.613171073639,-492.6034121704518,-492.6034121704518,-492.6034121704518,119.50192119436831,119.50192119436831,119.50192119436831,-612.1053333648202,-612.1053333648202,-612.1053333648202,0.0,0.0,0.0,10203.009758903187
2018-04-09,10693.944679491675,9592.473453196433,10980.18938401204,10693.944679491675,10693.944679491675,-436.9590755954888,-436.9590755954888,-436.9590755954888,128.19211995639344,128.19211995639344,128.19211995639344,-565.1511955518823,-565.1511955518823,-565.1511955518823,0.0,0.0,0.0,10256.985603896186
2018-04-10,10693.38851563102,9487.961709492607,10959.83836346897,10693.38851563102,10693.38851563102,-418.9242847639283,-418.9242847639283,-418.9242847639283,131.19089596870975,131.19089596870975,131.19089596870975,-550.1151807326381,-550.1151807326381,-550.1151807326381,0.0,0.0,0.0,10274.464230867092
2018-04-11,10692.832351770367,9585.732876292072,10953.205421634239,10692.832351770367,10692.832351770367,-405.167482904811,-405.167482904811,-405.167482904811,130.40851066578153,130.40851066578153,130.40851066578153,-535.5759935705925,-535.5759935705925,-535.5759935705925,0.0,0.0,0.0,10287.664868865555
2018-04-12,10692.276187909712,9564.676413066572,11075.996724473072,10692.276187909712,10692.276187909712,-389.477723288137,-389.477723288137,-389.477723288137,132.16746761284995,132.16746761284995,132.16746761284995,-521.6451909009869,-521.6451909009869,-521.6451909009869,0.0,0.0,0.0,10302.798464621575
2018-04-13,10691.720024049058,9596.774947731978,11071.279021763206,10691.720024049058,10691.720024049058,-388.9295234207613,-388.9295234207613,-388.9295234207613,119.50192119403889,119.50192119403889,119.50192119403889,-508.4314446148003,-508.4314446148003,-508.4314446148003,0.0,0.0,0.0,10302.790500628296
2018-04-16,10690.051532467094,9592.47711271859,11077.623729992847,10690.051532467094,10690.051532467094,-345.9116784401198,-345.9116784401198,-345.9116784401198,128.19211995606761,128.19211995606761,128.19211995606761,-474.10379839618736,-474.10379839618736,-474.10379839618736,0.0,0.0,0.0,10344.139854026975
2018-04-17,10689.49536860644,9642.560501508136,11083.338196018429,10689.49536860644,10689.49536860644,-333.5409915405472,-333.5409915405472,-333.5409915405472,131.19089596910098,131.19089596910098,131.19089596910098,-464.7318875096482,-464.7318875096482,-464.7318875096482,0.0,0.0,0.0,10355.954377065893
2018-04-18,10688.939204745786,9700.872793312486,11083.681232466537,10688.939204745786,10688.939204745786,-326.1108321959849,-326.1108321959849,-326.1108321959849,130.40851066596235,130.40851066596235,130.40851066596235,-456.51934286194734,-456.51934286194734,-456.51934286194734,0.0,0.0,0.0,10362.8283725498
2018-04-19,10688.383040885132,9656.17742394949,11054.940166582133,10688.383040885132,10688.383040885132,-317.35345249284154,-317.35345249284154,-317.35345249284154,132.16746761314047,132.16746761314047,132.16746761314047,-449.52092010598204,-449.52092010598204,-449.52092010598204,0.0,0.0,0.0,10371.02958839229
2018-04-20,10687.826877024478,9652.43754858627,11073.092819231624,10687.826877024478,10687.826877024478,-324.2735439010445,-324.2735439010445,-324.2735439010445,119.50192119461332,119.50192119461332,119.50192119461332,-443.7754650956578,-443.7754650956578,-443.7754650956578,0.0,0.0,0.0,10363.553333123433
2018-04-23,10686.158385442513,9636.723461985861,11122.76510251794,10686.158385442513,10686.158385442513,-305.97755855410884,-305.97755855410884,-305.97755855410884,128.19211995638622,128.19211995638622,128.19211995638622,-434.1696785104951,-434.1696785104951,-434.1696785104951,0.0,0.0,0.0,10380.180826888405
2018-04-24,10685.60222158186,9665.52139791861,11112.609211941432,10685.60222158186,10685.60222158186,-302.2560831177985,-302.2560831177985,-302.2560831177985,131.19089596849813,131.19089596849813,131.19089596849813,-433.44697908629655,-433.44697908629655,-433.44697908629655,0.0,0.0,0.0,10383.346138464061
2018-04-25,10685.046057721205,9667.489691733563,11148.35057484269,10685.046057721205,10685.046057721205,-303.4688754280203,-303.4688754280203,-303.4688754280203,130.40851066544474,130.40851066544474,130.40851066544474,-433.877386093465,-433.877386093465,-433.877386093465,0.0,0.0,0.0,10381.577182293186
2018-04-26,10684.48989386055,9659.138688619294,11150.336326983424,10684.48989386055,10684.48989386055,-303.20802032195047,-303.20802032195047,-303.20802032195047,132.16746761298316,132.16746761298316,132.16746761298316,-435.3754879349336,-435.3754879349336,-435.3754879349336,0.0,0.0,0.0,10381.281873538599
2018-04-27,10683.933729999897,9672.66784650294,11056.142453049697,10683.933729999897,10683.933729999897,-318.3319055622558,-318.3319055622558,-318.3319055622558,119.50192119428392,119.50192119428392,119.50192119428392,-437.8338267565398,-437.8338267565398,-437.8338267565398,0.0,0.0,0.0,10365.601824437641
2018-04-30,10682.265238417933,9634.560569116988,11083.359267758153,10682.265238417933,10682.265238417933,-321.3954198166809,-321.3954198166809,-321.3954198166809,128.19211995606042,128.19211995606042,128.19211995606042,-449.5875397727413,-449.5875397727413,-449.5875397727413,0.0,0.0,0.0,10360.869818601252
2018-05-02,10681.152910696625,9600.956655162316,11114.443357713055,10681.152910696625,10681.152910696625,-328.9737849575392,-328.9737849575392,-328.9737849575392,130.408510666163,130.408510666163,130.408510666163,-459.3822956237022,-459.3822956237022,-459.3822956237022,0.0,0.0,0.0,10352.179125739085
2018-05-03,10680.59674683597,9673.61207073875,10994.626053779826,10680.59674683597,10680.59674683597,-332.1227127591807,-332.1227127591807,-332.1227127591807,132.16746761296113,132.16746761296113,132.16746761296113,-464.29018037214183,-464.29018037214183,-464.29018037214183,0.0,0.0,0.0,10348.47403407679
2018-05-04,10680.040582975314,9592.302693419588,11011.014762665702,10680.040582975314,10680.040582975314,-349.42767652233573,-349.42767652233573,-349.42767652233573,119.50192119398028,119.50192119398028,119.50192119398028,-468.92959771631604,-468.92959771631604,-468.92959771631604,0.0,0.0,0.0,10330.61290645298
2018-05-07,10678.372091393352,9609.359561136356,11079.72377118786,10678.372091393352,10678.372091393352,-350.97285334138746,-350.97285334138746,-350.97285334138746,128.19211995590567,128.19211995590567,128.19211995590567,-479.1649732972931,-479.1649732972931,-479.1649732972931,0.0,0.0,0.0,10327.399238051965
2018-05-08,10677.815927532698,9652.883131319106,11062.061694416332,10677.815927532698,10677.815927532698,-349.4996871637307,-349.4996871637307,-349.4996871637307,131.19089596959827,131.19089596959827,131.19089596959827,-480.69058313332897,-480.69058313332897,-480.69058313332897,0.0,0.0,0.0,10328.316240368968
2018-05-09,10677.259763672042,9645.934061716893,11073.902964704745,10677.259763672042,10677.259763672042,-350.56629254705337,-350.56629254705337,-350.56629254705337,130.40851066580632,130.40851066580632,130.40851066580632,-480.9748032128597,-480.9748032128597,-480.9748032128597,0.0,0.0,0.0,10326.693471124989
2018-05-10,10676.70359981139,9569.736854720206,11046.917020474668,10676.70359981139,10676.70359981139,-347.6983491967479,-347.6983491967479,-347.6983491967479,132.1674676129391,132.1674676129391,132.1674676129391,-479.86581680968703,-479.86581680968703,-479.86581680968703,0.0,0.0,0.0,10329.005250614642
2018-05-11,10676.147435950734,9570.888604183454,11060.964932343237,10676.147435950734,10676.147435950734,-357.73320530494385,-357.73320530494385,-357.73320530494385,119.50192119538116,119.50192119538116,119.50192119538116,-477.235126500325,-477.235126500325,-477.235126500325,0.0,0.0,0.0,10318.41423064579
2018-05-14,10674.478944368771,9598.762746641849,11104.46700662,10674.478944368771,10674.478944368771,-331.14866671057143,-331.14866671057143,-331.14866671057143,128.19211995622427,128.19211995622427,128.19211995622427,-459.34078666679574,-459.34078666679574,-459.34078666679574,0.0,0.0,0.0,10343.3302776582
2018-05-15,10673.922780508117,9626.798881471586,11107.652258010934,10673.922780508117,10673.922780508117,-318.71372913507815,-318.71372913507815,-318.71372913507815,131.19089596867764,131.19089596867764,131.19089596867764,-449.90462510375585,-449.90462510375585,-449.90462510375585,0.0,0.0,0.0,10355.20905137304
